time,open,high,low,close,volume
2024-12-12 20:16:00+09:00,2.3870,2.3882,2.3844,2.3867,784541.2
2024-12-12 20:17:00+09:00,2.3867,2.3910,2.3858,2.3884,977593.3
2024-12-12 20:18:00+09:00,2.3885,2.3958,2.3885,2.3951,1471225.3
2024-12-12 20:19:00+09:00,2.3951,2.3957,2.3891,2.3905,749277.7
2024-12-12 20:20:00+09:00,2.3904,2.3916,2.3845,2.3845,1004219.8
2024-12-12 20:21:00+09:00,2.3847,2.3872,2.3838,2.3843,1155890.6
2024-12-12 20:22:00+09:00,2.3844,2.3878,2.3811,2.3812,1345642.2
2024-12-12 20:23:00+09:00,2.3811,2.3875,2.3811,2.3875,1013598.1
2024-12-12 20:24:00+09:00,2.3875,2.3927,2.3873,2.3892,880495.7
2024-12-12 20:25:00+09:00,2.3892,2.3898,2.3865,2.3884,482540.9
2024-12-12 20:26:00+09:00,2.3884,2.3916,2.3879,2.3902,411175.7
2024-12-12 20:27:00+09:00,2.3902,2.3952,2.3889,2.3950,649445.8
2024-12-12 20:28:00+09:00,2.3951,2.3967,2.3914,2.3955,1371806.8
2024-12-12 20:29:00+09:00,2.3955,2.3972,2.3955,2.3966,623352.8
2024-12-12 20:30:00+09:00,2.3967,2.3970,2.3937,2.3964,1037503.1
2024-12-12 20:31:00+09:00,2.3963,2.3980,2.3940,2.3947,721467.4
2024-12-12 20:32:00+09:00,2.3947,2.3959,2.3926,2.3927,553821.5
2024-12-12 20:33:00+09:00,2.3926,2.3953,2.3874,2.3882,1996093.6
2024-12-12 20:34:00+09:00,2.3883,2.3920,2.3873,2.3907,1363552.5
2024-12-12 20:35:00+09:00,2.3907,2.3912,2.3863,2.3864,660734.9
2024-12-12 20:36:00+09:00,2.3864,2.3895,2.3851,2.3890,794763.4
2024-12-12 20:37:00+09:00,2.3892,2.3924,2.3883,2.3923,1009213.0
2024-12-12 20:38:00+09:00,2.3923,2.3950,2.3920,2.3938,604387.5
2024-12-12 20:39:00+09:00,2.3939,2.3979,2.3931,2.3975,766500.7
2024-12-12 20:40:00+09:00,2.3975,2.4025,2.3969,2.4024,1004260.7
2024-12-12 20:41:00+09:00,2.4025,2.4060,2.3992,2.3992,1753273.9
2024-12-12 20:42:00+09:00,2.3993,2.4004,2.3969,2.3991,601013.6
2024-12-12 20:43:00+09:00,2.3990,2.4000,2.3969,2.3988,544467.9
2024-12-12 20:44:00+09:00,2.3988,2.4000,2.3980,2.3981,1093094.9
2024-12-12 20:45:00+09:00,2.3981,2.4016,2.3955,2.4013,672863.2
2024-12-12 20:46:00+09:00,2.4014,2.4015,2.3984,2.3984,624711.7
2024-12-12 20:47:00+09:00,2.3984,2.4002,2.3978,2.4001,352971.1
2024-12-12 20:48:00+09:00,2.4002,2.4025,2.3987,2.4013,423010.2
2024-12-12 20:49:00+09:00,2.4012,2.4044,2.4010,2.4044,424764.5
2024-12-12 20:50:00+09:00,2.4044,2.4074,2.4024,2.4065,1029927.4
2024-12-12 20:51:00+09:00,2.4064,2.4080,2.4034,2.4035,1012806.3
2024-12-12 20:52:00+09:00,2.4034,2.4041,2.4018,2.4024,616381.6
2024-12-12 20:53:00+09:00,2.4024,2.4048,2.4022,2.4044,615638.3
2024-12-12 20:54:00+09:00,2.4045,2.4050,2.4020,2.4038,522021.1
2024-12-12 20:55:00+09:00,2.4039,2.4049,2.4020,2.4025,627025.4
2024-12-12 20:56:00+09:00,2.4026,2.4028,2.4008,2.4019,778230.5
2024-12-12 20:57:00+09:00,2.4019,2.4041,2.4012,2.4041,419053.7
2024-12-12 20:58:00+09:00,2.4041,2.4071,2.4041,2.4062,488101.3
2024-12-12 20:59:00+09:00,2.4063,2.4108,2.4061,2.4090,1175621.7
